Max height point: 2.54; 0.66; 2.18
Time to max height: 0.4
Total flight time: 0.763636
Landing point: 6.10909; 0; 4.58182

time;x;y;z;vx;vy;vz
0;0;0;0;5;3;5
0.1;0.5;0.3;0.5;5.9;2.1;5.3
0.2;1.09;0.51;1.03;6.8;1.2;5.6
0.3;1.77;0.63;1.59;7.7;0.3;5.9
0.4;2.54;0.66;2.18;8.6;-0.6;6.2
0.5;3.4;0.6;2.8;9.5;-1.5;6.5
0.6;4.35;0.45;3.45;10.4;-2.4;6.8
0.7;5.39;0.21;4.13;11.3;-3.3;7.1
0.763636;6.10909;0;4.58182;0;0;0
