Time (s); X (m); Y (m); Z (m); Vx (m/s); Vy (m/s); Vz (m/s)
0; 0; 0; 0; 1; 5; 0
Max Height; 0
Time to Max Height; 0
Total Flight Time; 0
Landing Coordinates; 0; 0
